ScdUht-pM6s_53_63.avi,a man is a a slice of a man
wkgGxsuNVSg_34_41.avi,a man is running
BtQtRGI0F2Q_15_20.avi,a man is doing a <unk>
k06Ge9ANKM8_5_16.avi,a cartoon is doing a ball
sZf3VDsdDPM_107_114.avi,a man is reading a banana
shPymuahrsc_5_12.avi,a cat is trying to get a small ball
XOAgUVVwKEA_8_20.avi,a baby is laughing
ufFT2BWh3BQ_0_8.avi,a panda is patting a panda
5YJaS2Eswg0_22_26.avi,a man is riding a motorcycle
lw7pTwpx0K0_38_48.avi,a man is slicing a tomato
UbmZAe5u5FI_132_141.avi,a person is cutting a piece of meat
xCFCXzDUGjY_5_9.avi,a man is falling down a <unk>
He7Ge7Sogrk_47_70.avi,a man is falling on a <unk>
tJHUH9tpqPg_113_118.avi,a man is spinning a machine machine
n016q1w8Q30_2_11.avi,a man is cutting a piece of paper
RjpbFlOHFps_8_25.avi,a <unk> is moving
6JnGBs88sL0_4_10.avi,a man is putting a <unk>
EpMuCrbxE8A_107_115.avi,a man is playing a guitar
HAjwXjwN9-A_16_24.avi,a little boy is riding a ball
4xVGpDmA4lE_23_33.avi,a man is running
k5OKBX2e7xA_19_32.avi,a woman is riding a horse
Jag7oTemldY_12_25.avi,a man is walking
8MVo7fje_oE_125_130.avi,a man is draining pasta
bqMmyY1ImkI_0_14.avi,a man is <unk> a <unk>
jTnrm338_KY_34_42.avi,two boys are being sliced
UdcObAQ5OOM_15_30.avi,a man is riding a skateboard
4PcL6-mjRNk_11_18.avi,a cat is playing with a toy
3qqEKTPxLNs_1_15.avi,a kitten is playing with a shoe
glrijRGnmc0_211_215.avi,a man is cleaning a box
q7pOFn8s4zc_263_273.avi,a man is talking to a man
mtrCf667KDk_134_176.avi,a man is cutting a piece of bread
0lh_UWF9ZP4_62_69.avi,a woman is adding water into a bowl
JntMAcTlOF0_50_70.avi,a man is running
7NNg0_n-bS8_21_30.avi,a man is singing
IhwPQL9dFYc_124_129.avi,a woman is slicing tofu
BAf3LXFUaGs_28_38.avi,a man is playing a guitar
6q1dX6thX3E_286_295.avi,a man is singing
RZL9irxnhZ0_34_40.avi,a man is drawing a paper
WWf0Z6ak3Dg_5_15.avi,a cat is riding a horse
PeUHy0A1GF0_114_121.avi,a person is putting a piece of meat
klteYv1Uv9A_27_33.avi,a man is riding a motorcycle
e-j59PqJjSM_405_416.avi,a man is adding something into a bowl
778mkceE0UQ_40_46.avi,a car is running
77iDIp40m9E_126_131.avi,a person is riding a horse
e-j59PqJjSM_50_98.avi,a man is slicing a onion
Dgf0VHMEtNs_57_66.avi,a man is spinning a kite
f9Won2JpOEU_60_80.avi,a cat is cleaning a shoe
