ScdUht-pM6s_53_63.avi,a man is drinking a <unk>
wkgGxsuNVSg_34_41.avi,a man is falling down
BtQtRGI0F2Q_15_20.avi,a <unk> is running
k06Ge9ANKM8_5_16.avi,a puppy is <unk> a ball
sZf3VDsdDPM_107_114.avi,a boy is talking into a microphone
shPymuahrsc_5_12.avi,a dog is walking on a <unk>
XOAgUVVwKEA_8_20.avi,a baby is laughing
ufFT2BWh3BQ_0_8.avi,a panda is climbing on a back
5YJaS2Eswg0_22_26.avi,a man is riding a horse
lw7pTwpx0K0_38_48.avi,a man is putting a into a pan
UbmZAe5u5FI_132_141.avi,a woman is cutting a piece of meat
xCFCXzDUGjY_5_9.avi,a rock is falling down
He7Ge7Sogrk_47_70.avi,a man is using a machine
tJHUH9tpqPg_113_118.avi,a man is drinking a machine
n016q1w8Q30_2_11.avi,a man is cutting a piece of paper
RjpbFlOHFps_8_25.avi,a <unk> is <unk>
6JnGBs88sL0_4_10.avi,a man is putting on a <unk>
EpMuCrbxE8A_107_115.avi,a man is playing a guitar
HAjwXjwN9-A_16_24.avi,two men are riding a soccer
4xVGpDmA4lE_23_33.avi,a man is running
k5OKBX2e7xA_19_32.avi,a man is riding a horse
Jag7oTemldY_12_25.avi,a man is climbing a rope
8MVo7fje_oE_125_130.avi,a man is emptying a container
bqMmyY1ImkI_0_14.avi,a man is a a cup
jTnrm338_KY_34_42.avi,a man is cutting a <unk>
UdcObAQ5OOM_15_30.avi,a man is riding a skateboard
4PcL6-mjRNk_11_18.avi,a dog is playing with a toy
3qqEKTPxLNs_1_15.avi,a baby is playing with a
glrijRGnmc0_211_215.avi,a dog is taking out of a dog
q7pOFn8s4zc_263_273.avi,a man is talking to a camera
mtrCf667KDk_134_176.avi,a man is cutting a potato
0lh_UWF9ZP4_62_69.avi,a woman is pouring a mixture in a bowl
JntMAcTlOF0_50_70.avi,a man is running
7NNg0_n-bS8_21_30.avi,a man is singing
IhwPQL9dFYc_124_129.avi,a woman is cutting tofu
BAf3LXFUaGs_28_38.avi,a man is playing a guitar
6q1dX6thX3E_286_295.avi,a man is singing
RZL9irxnhZ0_34_40.avi,a man is <unk>
WWf0Z6ak3Dg_5_15.avi,a cat is jumping
PeUHy0A1GF0_114_121.avi,a woman is placing flour to a bowl of water
klteYv1Uv9A_27_33.avi,a man is doing stunts on a motorcycle
e-j59PqJjSM_405_416.avi,a man is pouring water into a bowl
778mkceE0UQ_40_46.avi,a car is running
77iDIp40m9E_126_131.avi,a pug is on a track
e-j59PqJjSM_50_98.avi,a man is slicing a tomato
Dgf0VHMEtNs_57_66.avi,a man is spinning in a <unk>
f9Won2JpOEU_60_80.avi,a cat is watching a cat
dfOuTx66bJU_34_39.avi,a man and a woman are walking
04Gt01vatkk_248_265.avi,a woman is cutting a paper
rl1rVk_xIOs_1_16.avi,a group of people are dancing
